month,little_italy,mercier,ndg,griffintown,le_plateau,ahuntsic,villeray,rosemont,lachine,le_sud_ouest,pointe_saint_charles,lasalle,new_rosemont,old_rosemont,rivière_des_prairies,dorval,montreal_nord,verdun,ville_marie,cdn,la_petite_patrie
2010-01-01,266131,195000,293500,223500,317250,220000,173000,220000,219250,216000,222000,210000,208775,279500,140500,196600,200500,213854,299250,194500,271000
2010-02-01,292238,206500,275000,285000,285000,197000,169500,220000,221500,186000,201500,223000,227500,194500,166750,188000,177000,206003,288000,229500,233500
2010-03-01,219500,201222,294000,212624,280000,217000,164000,283500,219000,184950,240000,223000,229000,244000,165000,259122,220000,189030,310000,255000,255000
2010-04-01,262955,194075,315000,188054,292450,205000,213625,500000,198000,202000,186000,236500,210000,252000,162000,220104,200000,235000,306750,282500,280000
2010-05-01,238000,199336,312000,240000,290000,198699,194993,219000,220500,164500,214800,205000,214780,218500,186000,235000,198000,207000,305000,247000,275000
2010-06-01,241750,194038,246009,296000,288750,208250,200000,219000,213000,204000,177433,230977,175583,253000,175000,217000,176500,213955,300000,230000,220000
2010-07-01,224950,200500,352500,245000,265000,223000,142500,352450,224300,201500,175443,225000,219500,175500,190500,217000,199000,225000,311000,368000,240832
2010-08-01,339500,214882,265000,308500,276500,219000,165000,352450,210000,243900,314000,267500,187500,247912,185000,635000,242000,215000,330000,210000,242252
2010-09-01,228750,205000,260000,255000,275000,225000,197000,348000,231000,208000,238000,237000,263115,226100,171500,195350,179500,213955,301000,455000,292500
2010-10-01,259900,195834,249500,280000,309000,209750,174950,233000,230500,204000,175792,246500,210000,245000,169750,195350,192500,245000,350000,244000,247500
2010-11-01,262500,196850,383500,231000,286250,226500,174500,242500,208000,210857,211749,201300,206000,208500,181000,190500,197000,232745,302000,310500,250000
2010-12-01,376500,189452,275000,225000,318000,214450,196523,373000,215250,212000,228231,229400,252750,215000,187750,281234,198500,209381,285000,418000,228000
2011-01-01,235000,187500,286000,249500,300000,217000,213900,295000,220000,215000,191149,259486,277912,238000,199000,191000,206250,184915,303595,210000,308000
2011-02-01,320000,203000,319500,240000,321000,217500,168000,309000,256250,168640,191226,265000,268173,212000,184000,252900,193750,254900,284950,335000,244950
2011-03-01,249500,198944,270500,240500,313500,220000,193500,309000,239900,190000,200338,229500,217249,305000,183500,183000,225000,252725,274395,257500,254500
2011-04-01,242000,203088,347500,247500,320000,253500,162568,265000,233100,223211,222964,260000,204000,260500,176000,249500,252000,246000,302500,271700,266000
2011-05-01,248501,195099,334000,228500,319000,220000,181157,247500,246500,195000,262500,283000,201640,234000,187000,216000,242000,231000,298250,235388,255000
2011-06-01,286500,201466,422500,232000,295000,243750,216000,302500,205308,194500,201420,240237,249500,281000,185000,206500,220000,245000,301000,244500,280000
2011-07-01,307000,227000,263000,229000,311500,230000,216000,302500,233500,227500,270403,291058,185000,257000,185897,280000,217750,224900,312750,225000,288000
2011-08-01,294500,225500,280000,229000,320000,245000,177253,265000,249000,134894,270357,286000,273000,257000,177000,194000,217000,285000,335000,232000,260000
2011-09-01,302000,214750,334250,244000,302500,207000,195500,265000,268707,235950,250000,270000,295000,345000,171250,189500,181000,233000,292500,278000,223000
2011-10-01,410000,228900,318500,364950,312000,266000,291000,340000,216421,242150,297000,265000,164500,226250,191500,198950,248750,263000,360000,315000,262000
